    i     t(i,1)        t(i,2)        t(i,3)          y(i)                              
   ----------------------------------------------------------                           
    1  2.5215646958  2.3268277074  2.6494670583  0.6668154103
    2  4.9378416608  4.9932780527  4.5928491264  0.6147394465
    3  1.3047927266  1.0242309678  1.0152667612  0.7927299168
    4  2.3268277074  2.6494670583  2.1688082824  0.6096890758
    5  4.9932780527  4.5928491264  4.1608028278  0.4914052554
    6  1.0242309678  1.0152667612  1.6131261157  0.7631536343
    7  2.6494670583  2.1688082824  2.1988688014  0.4364012785
    8  4.5928491264  4.1608028278  4.3879458734  0.6092918155
    9  1.0152667612  1.6131261157  1.2062938610  0.5249255986
   10  2.1688082824  2.1988688014  2.7565675465  0.6087519918
   11  4.1608028278  4.3879458734  4.6307543412  0.8343149085
   12  1.6131261157  1.2062938610  1.0882125386  0.5088746502
   13  2.1988688014  2.7565675465  2.7922960868  0.6752740201
   14  4.3879458734  4.6307543412  4.1203309643  0.5776514687
   15  1.2062938610  1.0882125386  1.4025165049  0.7693370508
   16  2.7565675465  2.7922960868  2.9587148139  0.5508779612
   17  4.6307543412  4.1203309643  4.1198773198  0.6597281028
   18  1.0882125386  1.4025165049  1.7781145306  0.3205205789
   19  2.7922960868  2.9587148139  2.7874643457  0.4509133945
   20  4.1203309643  4.1198773198  4.9132582871  0.5449041202
   21  1.4025165049  1.7781145306  1.1320310198  0.3784172896
   22  2.9587148139  2.7874643457  2.2046158906  0.7726722770
   23  4.1198773198  4.9132582871  4.9792734720  0.5477746117
   24  1.7781145306  1.1320310198  1.6492434273  0.4844098260
   25  2.7874643457  2.2046158906  2.7817377345  0.5682347567
   26  4.9132582871  4.9792734720  4.6661031030  0.2467932908
   27  1.1320310198  1.6492434273  1.1948528375  0.4589086395
   28  2.2046158906  2.7817377345  2.7776471683  0.5122877075
   29  4.9792734720  4.6661031030  4.9159571477  0.7818297973
   30  1.6492434273  1.1948528375  1.4917810925  0.4869217156
   31  2.7817377345  2.7776471683  2.5511756542  0.3979580091
   32  4.6661031030  4.9159571477  4.6092199905  0.4137536357
   33  1.1948528375  1.4917810925  1.1603801437  0.4435752255
   34  2.7776471683  2.5511756542  2.0395643884  0.5474043860
   35  4.9159571477  4.6092199905  4.9586751144  0.3668789303
   36  1.4917810925  1.1603801437  1.4526480350  0.8385735763
   37  2.5511756542  2.0395643884  2.3947777186  0.5646293319
   38  4.6092199905  4.9586751144  4.0291173440  0.5637199246
   39  1.1603801437  1.4526480350  1.3751999500  0.4825942782
   40  2.0395643884  2.3947777186  2.3036396766  0.6879416783
   ---------------------------------------------------------- 
